speakercode,sentencecode,gender,label,F1,F2,Lang,level,tStart,tEnd,dur
hen001,p01_012,m,sil,627.7762942328999,1680.2703615034889,L1,null,2.12,2.63,0.5099999999999998
hen001,p01_013,m,sil,654.4215717584818,1698.3147527729025,L1,null,0,0.93,0.93
hen001,p01_013,m,iy,292.3060709584878,2231.499383135298,L1,null,1.08,1.13,0.04999999999999982
hen001,p01_013,m,ih,323.12966763968194,1997.3087108332822,L1,null,1.13,1.16,0.030000000000000027
hen001,p01_013,m,uw,273.5035969277953,1900.5830902001214,L1,null,1.37,1.41,0.039999999999999813
hen001,p01_013,m,ax,1633.28648664064,2297.27522664541,L1,null,1.49,1.52,0.030000000000000027
hen001,p01_013,m,ax,339.949923279996,1226.944957106426,L1,null,1.55,1.58,0.030000000000000027
hen001,p01_013,m,iy,329.14104633921215,1931.1822829218968,L1,null,1.61,1.64,0.029999999999999805
hen001,p01_013,m,eh,429.9615560850365,1436.9531261095474,L1,null,1.73,1.78,0.050000000000000044
hen001,p01_013,m,iy,243.15637472151363,1910.3687335472412,L1,null,1.88,1.91,0.030000000000000027
hen001,p01_013,m,ax,544.6862977155694,1030.7099410599087,L1,null,2.09,2.14,0.050000000000000266
hen001,p01_013,m,iy,474.5526196932464,2050.4824006417916,L1,null,2.19,2.39,0.20000000000000018
hen001,p01_013,m,sil,499.24598679549365,1640.7027393952362,L1,null,2.39,3.04,0.6499999999999999
hen001,p01_014,m,sil,682.3280037156337,1700.652443590379,L1,null,0,0.92,0.92
hen001,p01_014,m,ih,210.47670723157654,1950.3328014353474,L1,null,1,1.04,0.040000000000000036
hen001,p01_014,m,uw,255.42934884623534,1556.5353601795623,L1,null,1.15,1.2,0.050000000000000044
hen001,p01_014,m,ih,373.85778387326945,1766.2165956852366,L1,null,1.34,1.38,0.039999999999999813
hen001,p01_014,m,ax,407.74951905900843,1030.2168577689208,L1,null,1.6,1.63,0.029999999999999805
hen001,p01_014,m,ae,610.4055341297803,1501.1469383606827,L1,null,1.77,1.94,0.16999999999999993
hen001,p01_014,m,sil,569.9446384821085,1567.0945570767885,L1,null,2.16,2.7,0.54
hen001,p01_015,m,sil,554.7326683362611,1527.8429869313968,L1,null,0,1.01,1.01
hen001,p01_015,m,aa,636.4235852868184,1304.0490564460629,L1,null,1.01,1.11,0.10000000000000009
hen001,p01_015,m,uw,234.84697256486436,1771.5661336192932,L1,null,1.23,1.27,0.040000000000000036
hen001,p01_015,m,ax,501.4825430746505,1018.0836813247153,L1,null,1.42,1.45,0.030000000000000027
hen001,p01_015,m,ih,429.8717035342693,2268.4119251242446,L1,null,1.55,1.61,0.06000000000000005
hen001,p01_015,m,ax,486.5653780625151,1169.303293232232,L1,null,1.81,1.87,0.06000000000000005
hen001,p01_015,m,sil,860.9771944514836,1691.7068697907596,L1,null,2.54,2.56,0.020000000000000018
hen001,p01_016,m,sil,578.4087887160941,1518.17123946752,L1,null,0,0.8,0.8
hen001,p01_016,m,uw,237.5232022611518,1504.110018752516,L1,null,0.91,0.94,0.029999999999999916
hen001,p01_016,m,ey,356.28700227868643,2282.7358227713867,L1,null,1.1,1.19,0.08999999999999986
hen001,p01_016,m,ih,397.28101678782934,1876.2833806186463,L1,null,1.25,1.3,0.050000000000000044
hen001,p01_016,m,ay,575.0113669248045,1170.21982489226,L1,null,1.42,1.49,0.07000000000000006
hen001,p01_016,m,ih,396.6802186315334,1481.6862215018532,L1,null,1.66,1.69,0.030000000000000027
hen001,p01_016,m,sil,510.5825371842294,1539.0607366502811,L1,null,2.14,2.56,0.41999999999999993
hen001,p01_017,m,sil,670.3905214808657,1707.9922984494472,L1,null,0,0.76,0.76
hen001,p01_017,m,ae,586.3110419325187,1621.1211340465322,L1,null,0.84,0.91,0.07000000000000006
hen001,p01_017,m,ao,613.3725579421899,1056.5128194085303,L1,null,1.05,1.13,0.07999999999999985
hen001,p01_017,m,ae,424.10468336037366,1945.0592535732733,L1,null,1.29,1.32,0.030000000000000027
hen001,p01_017,m,ao,650.0420506751962,996.5604144564736,L1,null,1.46,1.61,0.15000000000000013
hen001,p01_017,m,sil,404.5146833023748,1311.5038429055849,L1,null,1.82,2.28,0.45999999999999974
hen001,p01_018_f1_r1,m,sil,594.4608473029991,1568.5467173258055,L1,null,0,1.21,1.21
hen001,p01_018_f1_r1,m,ih,402.17933113301814,1278.9849292154279,L1,null,1.3,1.33,0.030000000000000027
hen001,p01_018_f1_r1,m,ih,419.6628202946456,1390.2362250152207,L1,null,1.46,1.49,0.030000000000000027
hen001,p01_018_f1_r1,m,ax,478.20884285415093,1001.0622339856723,L1,null,1.55,1.58,0.030000000000000027
hen001,p01_018_f1_r1,m,aa,588.1407469300525,913.025150631512,L1,null,1.72,1.75,0.030000000000000027
hen001,p01_018_f1_r1,m,uw,431.1984813838264,1289.683382229632,L1,null,1.9,1.93,0.030000000000000027
hen001,p01_018_f1_r1,m,eh,484.01429463913854,1426.8815734652528,L1,null,2.01,2.07,0.06000000000000005
hen001,p01_018_f1_r1,m,iy,347.51914515241486,2059.090964176006,L1,null,2.16,2.19,0.029999999999999805
